id;year;earning1;season;Nindnme;returnSe
11;2009;25.03321;2;S;0.3323263
11;2009;30.30702;3;S;0.4573379
11;2009;13.89817;4;S;-0.1895375
11;2010;0.5523733;1;K;0.0889713
11;2010;28.97241;2;K;-0.3065068
11;2010;26.5543;3;K;-0.0662178
11;2010;37.98189;4;K;-0.1670732
12;2007;9.681991;1;C3;0.3363229
12;2007;20.06223;2;C3;-0.1212525
12;2007;41.10644;3;C3;0.8735362
12;2007;34.69919;4;C3;-0.1647059
12;2008;16.75909;1;C3;-0.1577964
12;2008;31.91586;2;C3;-0.1795013
12;2008;49.08047;3;C3;-0.2986577
12;2008;101.9919;4;C3;-0.1525424
12;2009;7.93462;1;C3;1.008139
12;2009;19.59772;2;C3;-0.0926462
12;2009;48.03832;3;C3;-0.0766283
12;2009;74.11424;4;C3;0.3225372
12;2010;23.55063;1;C3;0.1010611
12;2010;41.29498;2;C3;-0.5818099
12;2010;73.08127;3;C3;0.7400882
12;2010;64.39928;4;C3;0.2382445
14;2007;-4.017872;1;K;0.5572414
14;2007;-2.90774;2;K;0.3375
14;2007;-4.047081;3;K;0.2782204
14;2007;0.6733364;4;K;
14;2008;-6.62155;1;K;-0.152914
14;2008;-13.90356;2;K;0.0407177
14;2008;-19.34899;3;K;-0.6171052
14;2008;51.28028;4;K;0.28
14;2009;-2.435575;1;K;0.5440977
14;2009;11.64001;2;K;0.2991229
14;2009;19.60094;3;K;-0.0976431
14;2009;26.43079;4;K;0.1223751
14;2010;26.3607;1;K;-0.1102514
14;2010;30.35132;2;K;-0.2876812
14;2010;19.34394;3;K;0.1020408
14;2010;34.38825;4;K;-0.1451163
16;2007;13.19506;1;C3;0.6602871
16;2007;11.18419;2;C3;0.1350575
16;2007;14.76214;3;C3;0.2236843
16;2007;69.82016;4;C3;-0.0583245
16;2008;14.04093;1;C3;-0.1011236
16;2008;19.26176;2;C3;-0.5288945
16;2008;61.10422;3;C3;-0.1370968
16;2008;122.5302;4;C3;0.0031847
16;2009;13.3993;1;C3;0.495356
16;2009;18.27492;2;C3;-0.0020283
16;2009;25.17998;3;C3;-0.1321138
16;2009;32.50462;4;C3;0.7637614
16;2010;6.86058;1;C3;0.0285715
16;2010;13.13737;2;C3;-0.3989899
16;2010;17.20828;3;C3;0.2420382
16;2010;22.31632;4;C3;-0.1932203
17;2007;38.11349;1;C3;
17;2007;;2;C3;
17;2007;;3;C3;
17;2007;;4;C3;
17;2008;;1;C3;
17;2008;;2;C3;
17;2008;;3;C3;
17;2008;;4;C3;
17;2009;;1;C3;
17;2009;;2;C3;
17;2009;;3;C3;
17;2009;;4;C3;
17;2010;;1;C3;
17;2010;-27.06588;2;C3;-0.3266932
17;2010;-36.64303;3;C3;0.3274161
17;2010;36.008;4;C3;-0.2791366
18;2007;-40.09526;1;C1;0.7544205
18;2007;-36.59621;2;C1;-0.288764
18;2007;-81.63158;3;C1;0.2429022
18;2007;-148.0199;4;C1;0.0722434
18;2008;-3.034513;1;C1;-0.0460993
18;2008;-6.176147;2;C1;-0.4027261
18;2008;-18.54562;3;C1;-0.1718426
18;2008;-70.24297;4;C1;-0.0099502
18;2009;-4.526919;1;C1;0.4585493
18;2009;-2.210893;2;C1;0.2992832
18;2009;-0.4619006;3;C1;0.0027397
18;2009;14.41247;4;C1;0.1732606
18;2010;-4.070414;1;C1;0.0917538
18;2010;6.435395;2;C1;-0.3085106
18;2010;7.862608;3;C1;0.3446153
18;2010;2.748649;4;C1;-0.1223103
19;2007;0.7099584;1;C1;0.5858951
19;2007;7.115474;2;C1;
19;2007;;3;C1;
19;2007;12.96508;4;C1;0.6362935
19;2008;0.1233272;1;C1;-0.3863208
19;2008;3.13375;2;C1;-0.1823077
19;2008;10.82317;3;C1;-0.3266283
19;2008;26.69904;4;C1;-0.1958925
19;2009;-7.253391;1;C1;0.3887814
19;2009;-0.4073199;2;C1;0.1949861
19;2009;6.031986;3;C1;-0.2006961
19;2009;-8.443309;4;C1;0.5028819
19;2010;-6.66604;1;C1;0.0699234
19;2010;-10.55829;2;C1;-0.3356953
19;2010;-13.78313;3;C1;0.3417218
19;2010;5.350406;4;C1;0.0500982
20;2007;;1;C3;
20;2007;;2;C3;
20;2007;8.544955;3;C3;0.3255814
20;2007;16.7078;4;C3;-0.0753087
20;2008;1.208338;1;C3;-0.2384106
20;2008;-2.382461;2;C3;
20;2008;-1.701621;3;C3;-0.5622838
20;2008;21.87094;4;C3;-0.0977444
20;2009;4.1602;1;C3;0.7095435
20;2009;4.636246;2;C3;0.5609757
20;2009;7.588939;3;C3;0.0439739
20;2009;3.2254;4;C3;0.7006174
20;2010;7.1981;1;C3;0.0321101
20;2010;10.89882;2;C3;-0.3171155
20;2010;9.822964;3;C3;0.322078
20;2010;4.787979;4;C3;-0.0764706
21;2007;39.08063;1;C3;0.6121718
21;2007;30.2989;2;C3;0.0694753
21;2007;36.83884;3;C3;0.2474084
21;2007;44.79751;4;C3;-0.0924324
