"companyId","year","k4_average","median","average"
"1",2010,-0.0073239243855847645,-0.012755448867577271,-0.016514853874381123
"1",2011,-0.00512989672400187,-0.02426793951380773,-0.0957817662400859
"1",2012,-0.004962803405900466,-0.03291390400818799,-0.11092363844585477
"1",2013,-0.004036537695724382,-0.040421978652813974,-0.11806541014748369
"1",2014,-0.006015955413458359,-0.052459085188671845,-0.13000918473615555
"1",2015,-0.008834812433064481,-0.05312676181744238,-0.12274863624491851
"1",2016,-0.010340452036712395,-0.05392596834285694,-0.12411475260286306
"1",2017,-0.01511206200058246,-0.05413063395521103,-0.1403086117038974
"2",2010,-0.002446054152860651,-0.013721670365947307,-0.01643540743081253
"2",2011,-0.002435976603222428,-0.017631551815769756,-0.01955767544417324
"2",2012,-0.0029971793838562298,-0.022928533234473192,-0.02510111004575518
"2",2013,-0.003473841965333949,-0.02612266846466185,-0.027920773196791412
"2",2014,-0.003960330352225743,-0.029140448139593156,-0.030950185368633955
"2",2015,-0.008573247103362068,-0.03888277654757741,-0.039751938564102175
"4",2013,-0.0012871625392052858,-0.012454508751494299,-0.014891279743025732
"4",2014,-0.0006052645876796117,-0.012952562322638125,-0.015509205989498183
"4",2015,-0.0003181046778854427,-0.013803248974653987,-0.01643868134230247
"6",2010,-0.0023649067017352723,-0.013113218542560798,-0.01592109298447147
"6",2011,-0.0017933790295153176,-0.01497983431609513,-0.017682146818133637
"6",2012,-0.001488931358472537,-0.015332442469502158,-0.01831845037421864
"6",2013,-0.0018504690624678638,-0.01539218202847917,-0.01965356398312772
"6",2014,-0.0014404309450698665,-0.014356806994934712,-0.018160346141129054
"6",2015,-0.0029121506955710748,-0.016103589044803322,-0.019852815903474055
"6",2016,-0.0029592186903643837,-0.01498166314078665,-0.020119527901223115
"7",2013,-0.009349176482374908,-0.018719295656590595,-0.015015391758168403
"9",2010,-0.005185774959317507,-0.016929264071454984,-0.01657949514859321
"9",2011,-0.005550242731740807,-0.014527528699666468,-0.0161493796904851
"9",2012,-0.02375911813482404,-0.026363924606204608,-0.023759118134824037
"9",2013,-0.02511382463324955,-0.02747076231343578,-0.02511382463324955
"11",2013,-0.007668569903411913,-0.026478917035520327,-0.02868344877424971
"11",2014,-0.004904834879748314,-0.02714338674029993,-0.029603171965392073
"11",2015,-0.0025684394921111162,-0.025567764581405018,-0.02799248779129316
"11",2016,-0.0023265132678521572,-0.021628759447654466,-0.024807201319983034
"11",2017,-0.0017709136884750919,-0.019085091031303996,-0.02122064665236406
"12",2010,-0.0021937359591794655,-0.027755119010058654,-0.02842152259937879
"12",2011,-0.0017396118250617761,-0.029441001743149592,-0.029795019235721226
"12",2012,-0.0019914762238658276,-0.02930676025718787,-0.030230527006695342
"12",2013,-0.0014156909974699693,-0.03068771517017616,-0.03043421005175749
"12",2014,-0.000952693336404466,-0.030747942775365685,-0.03113193297783995
"12",2015,-0.0021711051293529836,-0.031286233632588235,-0.03163909106620312
"12",2016,-0.0027840723358651034,-0.031863075416057624,-0.031661302628182446
"12",2017,-0.002747361891792908,-0.0313693688506972,-0.031134027605008625
"14",2011,-0.0014813182097422129,-0.01282650007106391,-0.014241034339781461
"14",2012,-0.0031599894421057433,-0.014111676096935418,-0.01546714729437397
"14",2013,-0.003928873959126803,-0.018739192612539493,-0.020646031915635632
"14",2014,-0.0042197173816544194,-0.024149333980203323,-0.02512555915452161
"14",2015,-0.0029785203250258813,-0.027529582958788178,-0.026982749649471803
"14",2016,-0.0020321716291588957,-0.02672762523357533,-0.02704933938199518
"14",2017,-0.0019229684598266333,-0.02371286896652644,-0.024445507062246602
"16",2010,-0.0012517438875268138,-0.01621288202801013,-0.018980578169954253
"16",2011,-0.0004904659147647828,-0.012922900301963745,-0.015387023735045144
"16",2012,-0.0007403261553623745,-0.010852047946982291,-0.014651465492475022
"16",2013,-0.0006492372834742879,-0.00913155510506667,-0.01384929683113852
"16",2014,-0.0010496961299978173,-0.009029590945866917,-0.01371060390504605
"16",2015,-0.0003793241111581127,-0.01005375518706736,-0.015963481432415334
