id,year,returnSe,season,earning1,Nindnme
6,2008,-0.685329,2,0.378603,K
6,2008,-0.3519481,3,0.6005958,K
6,2008,-0.012024,4,0.5935215,K
6,2009,0.8255579,1,0.2473232,K
6,2009,0.4666666,2,0.2373179,K
6,2009,-0.2583333,3,0.2593701,K
6,2009,0.1573034,4,0.675128,K
6,2010,0.0564872,1,0.0658608,K
6,2010,-0.5689223,2,0.1623403,K
6,2010,0.4321706,3,0.3329992,K
6,2010,-0.0568336,4,0.8830556,K
6,2011,0.1248207,1,0.1014409,K
6,2011,-0.2589286,2,0.2236577,K
6,2011,-0.1290878,3,0.4810047,K
6,2011,-0.1897233,4,0.8674746,K
6,2012,0.3439025,1,0.2080736,K
6,2012,0.0362976,2,0.4951511,K
6,2012,-0.2977233,3,0.6164519,K
6,2012,0.2344138,4,1.221107,K
6,2013,-0.0909091,1,0.0977882,K
6,2013,-0.0533333,2,0.4689581,K
6,2013,0.084507,3,0.6271464,K
6,2013,0.0670996,4,1.119146,K
6,2014,0.0933063,1,0.0453708,K
6,2014,-0.1502783,2,0.0669022,K
6,2014,0.279476,3,0.3855536,K
6,2014,0.2030717,4,0.6477758,K
6,2015,0.2482269,1,0.2211903,K
6,2015,0.5420454,2,0.2259101,K
6,2015,-0.3072955,3,0.15699,K
6,2015,0.2244682,4,0.3457743,K
6,2016,-0.2788879,1,0.0321335,K
6,2016,-0.1120482,2,0.0946274,K
6,2016,0.3107191,3,0.1203811,K
6,2016,-0.0217391,4,0.6164247,K
6,2017,-0.1238095,1,0.0882585,K
6,2017,0.0640097,2,0.2355571,K
6,2017,0.1180477,3,0.2973119,K
7,2007,1.057851,1,-0.2557306,K
7,2007,-0.0742972,2,-0.266789,K
7,2007,0.6030368,3,-0.2844728,K
7,2007,0.0175914,4,0.0635283,K
7,2008,0.0332447,1,-0.079705,K
7,2008,-0.020592,2,-0.1362875,K
7,2008,-0.5335086,3,-0.2296218,K
7,2008,-0.0873239,4,-0.990018,K
7,2009,0.4074074,1,-0.1832912,K
7,2009,0.2061404,2,0.3343662,K
